Name,Gender,Nationality,Birth Year,Death Year
Susannah C. Drake,Female,American,,
Christina Kubisch,,,,
Lisa Baumgardner,,,,
School of Architecture Catholic University of Valparaiso,,,1952,
Susan Meiselas,Female,American,1948,
Pietro Roccasalva,,,,
Emanuel Rossetti,Male,,,
John Hilliard,Male,British,1945,
Jiri Kovanda,Male,Czech,1953,
Juan Baixas,Male,Chilean,1942,
Heidi Bucher,Female,,1926,1993
Xian Yeagan,,,,
Jacki Apple,,,,
Lawrence Abu Hamdan,Male,,1985,
Albrecht D.,,,,
Walter Weberhofer Quintana,Male,Peruvian,1923,2003
Felipe Ehrenberg,Male,Mexican,1943,
Sergio Larrain,Male,Chilean,1931,2012
John R. Carroll,,,,
Federico Guillermo Beckhoff,Male,Venezuelan,1919,1982
Volker Hüller,Male,German,1976,
Nick Knight,Male,British,1958,
Kurt Kren,Male,Austrian,1929,1998
Michael Williams,Male,American,1978,
Michaela Eichwald,Female,German,1967,
Richard Aldrich,Male,American,1975,
Jorge Rigamonti,,Venezuelan,1940,2008
Ann Demeulemeester,,,,
Charlie Foos,,,,
Shannon Plumb,Female,American,1970,
Jakub Szczęsny,Male,Polish,1973,
P.H. Polk,Male,American,1898,1984
John McGreer,Male,American,,
H. H. French Studios,,American,,
Powell & Co.,,American,,
Sean Meredith,Male,American,1975,
Klára Tamás,Female,American,1946,
Franco Rossi,Male,Italian,1919,2000
SO – IL (Florian Idenburg + Jing Liu),,American,2008,
Florian Idenburg,Male,Dutch,1975,
Jing Liu,Female,Chinese,1980,
M/M Paris,,,1992,
Marc Downie,Male,British,1977,
Shelley Eshkar,Male,American,1970,
Paul Kaiser,Male,German,1956,
OpenEnded Group,,,,
Juan Sordo Madaleno,Male,Mexican,1916,1985
Charles de Meaux,Male,French,1967,
Leonardo Finotti,Male,Brazilian,1977,
Justino Serralta,Male,Uruguayan,1919,2011
Abe Frajndlich,male,German,1946,
Günter Günschel,Male,German,1928,2008
K. Thomsen Copenhagen,,,,
Artěl Prague,,,,
Mauricio Pezo,Male,Chilean,1973,
Sofía von Ellrichshausen,Female,Argentine,1976,
Lux Interior (Erick Lee Purkhiser),Male,American,1948,2009
Lutz Bacher,Female,American,1952,
Juan Luis Martinez,Male,Chilean,1942,1993
Ulises Carrión,Male,,1941,1989
U-J3RK5,,,,
Kitty Byrne,,,,
Colin Griffiths,,,,
Danice McLeod,,,,
Frank Ramirez,,,,
David Wisdom,,,,
Derek Cianfrance,Male,American,1973,
Same Mendes,Male,British,1965,
Rodney Graham Band,,,,
Robert H. McNeill,Male,American,1918,2005
Eva Kotátková,Female,Czech,1982,
Alair Gomes,Male,Brazilian,1921,1991
Sara Facio,Female,Argentine,1932,
Nicolas Garcia Uriburu,Male,Argentine,1937,2016
Wes Anderson,Male,American,1969,
Park Chan-wook,Male,Korean,1963,
Derek Barnett,,,,
Reginald Daniels,Male,,,
John McDowell,Male,,,
Gaspar Gasparian,,Brazilian,1899,1966
Mladen Stilinović,Male,Croatian,1947,2016
Ed Clark,Male,American,1926,
Judith Scott,Female,American,1943,2005
Matías Duville,Male,Argentine,1974,
Ido Mizrahy,Male,American,1981,
Joon-ho Bong,Male,Korean,1969,
Kim Jee-Woon,Male,Korean,1964,
Francis Ford,Male,American,1881,1953
Raoul Barré,Male,Canadian,1874,1932
David Tudor,Male,American,1926,1996
Hendrik Nicolaas Werkman,,Dutch,,
O Meul,Male,Korean,1971,
Jo Sung-hee,Male,Korean,1979,
Wenzel Hablik,Male,German,1881,1934
Elisabeth Lindemann,Female,German,1879,1960
Rosângela Rennó,Female,Brazilian,1962,
Tom Wedell,Male,American,1949,
Department of Publications and Urban Design Organizing Committee of the XIX Olympiad,,,,
Ken Okiishi,,,,
Allen Watt,Male,American,1885,1944
Beatrice Trueblood,Female,British,1938,
Huberto Batis,Male,Mexican,,
Miguel Cervantes,Male,Mexican,,
Ricardo Verdoni,Male,Mexican,,
The Living,,,,
José Carlos Martinat,Male,Peruvian,1974,
Ben F. Wilson,Male,American,1876,1930
Vernon Stallings,Male,American,1891,1963
Relative Wave,,,2009,
Kodama Studios,,,2011,
Touch Press London,,,2010,
Yılmaz Güney,Male,Turkish,1937,1984
Pavel Lungin,Male,Russian,1949,
Théo Angelopoulos,Male,Greek,1935,2012
Lodge Kerrigan,Male,American,1964,
Michael Haneke,Male,Austrian,1942,
Romain Goupil,Male,French,1951,
Marin Karmitz,Male,French,1938,
Simon Denny,Male,New Zealander,1982,
Tengiz Abuladze,Male,Georgian,1924,1994
Lana Gogoberidze,Female,Georgian,1928,
Paul Thomas Anderson,Male,American,1970,
Denis Villeneuve,Male,Canadian,1967,
Lisa Crafts,Female,American,1953,
Henry Bataille,Male,,1872,1922
Judith Steedman,,,,
Mathias Augustyniak,Male,French,1967,
Michael Amzalag,Male,French,1968,
Sarah Stocker,Female,American,1965,
Mark Danks,Male,American,1972,
Marco Bellocchio,Male,Italian,1939,
Todd Solondz,Male,American,1959,
Jim Mickle,Male,American,1979,
Pierre Thoretton,Male,French,1967,
Sjón (Sigurjón Birgir Sigurðsson),Male,Icelandic,1962,
Nikki Dibben,Female,British,1969,
Stephen Malinowski,Male,American,1953,
Carlos Sallaberry,Male,Argentine,,
Damián Vinson,Male,Argentine,,
Felipe Tarsitano,Male,Argentine,,
Ignacio Petchersky,Male,Argentine,,
Carlos Libedinsky,Male,,,
Antonio Diaz,Male,Argentine,,
Rao,,Argentine,,
Erin Shirreff,Female,Canadian,1975,
Centrala Architects,,Polish,2000,
Keld Helmer-Petersen,Male,Danish,1920,2013
Jay Silver,Male,American,1979,
Eric Rosenbaum,Male,American,1979,
Nancy Burson,Female,American,1948,
Leslie Thornton,Male,British,1925,2016
A Band,,,,
John Adams,Male,American,1947,
The Alma Band,,,,
David Bellingham,,,,
Jonathan Bepler,,,,
Tim Berrescheim,Male,German,1975,
Dike Blair,Male,,1952,
Monte Cazazza,Male,American,,
Technology Will Save Us,,,2012,
QUAD Electroacoustics Huntingdon England,,,,
Keiji Uematsu,Male,Japanese,1947,
Toshiro Mayuzumi,,,1929,1997
Martin Sharp,Male,Australian,1942,2013
James Richards,Male,British,1983,
Jerome Kuhl,Male,,,
Alfred Gescheidt,Male,American,1926,2012
Kenny Scharf,,American,1958,
Edwin Middleton,,,,
T. Hayes Hunter,,,,
Jean-Philippe Toussaint,Male,Belgian,1957,
Yuri Suzuki,Male,Japanese,1980,
Transnatural Amsterdam,,,2009,
Arjen Bangma,Male,Dutch,1976,
Miguel Ángel Salgado,Male,Mexican,,
Jorge Castillo,Male,Venezuelan,1933,
Marjan van Aubel,Female,Dutch,1985,
James Shaw,Male,British,,
Philippe Van Snick,Male,Belgian,1946,
Oscar Tenreiro Degwitz,Male,Venezuelan,1939,
Tihamér Csemiczky,Male,Hungarian,1904,1960
Fernando Guerra,Male,Portuguese,1970,
Nervous System,,,2007,
Stefan Diez,Male,German,1971,
W. Craig Carter,Male,American,1961,
Joe Hicklin,Male,American,1959,
Chris Gabrin,Male,British,,
Louis Christiann Kalff,Male,Dutch,1897,1976
Jann Haworth,Female,American,1942,
The Otolith Group,,,,
Charles E. Murphy,Male,American,,
Donald Smith,Male,American,,
Peter Martin Christopherson,Male,British,1955,2010
Peter Gabriel,Male,British,1950,
Greg Porto,Male,,,
Jean-Paul Goude,Male,French,1940,
George Hardie,Male,British,1944,
Michael Andrews,Male,British,1928,1995
David Inshaw,Male,British,1943,
Clive Barker,Male,British,1952,
Hipgnosis,,British,1968,
David Tindle,Male,British,1932,
Tony Wright,Male,British,1949,
Karl Klefisch,Male,German,,
Günther Fröhling,Male,German,,
Mark Farrow,Male,British,1960,
Eric Watson,Male,British,1955,2012
Pet Shop Boys,,British,1981,
Tony Lane,Male,,,
Francis Wolff,Male,American,1907,1971
Jerry Harrison,Male,American,1949,
Jimmy Garcia,Male,,,
Robert Whitaker,Male,British,1939,2011
Ben Kelly,Male,British,,
Robert Freeman,Male,British,1936,
Ronald Clyne,Male,American,1925,2006
Gerald Scarfe,Male,British,1936,
Roger Waters,Male,British,1943,
Bob Dylan,Male,American,1941,
Michael Cooper,Male,British,1941,1973
Bob Seidmann,Male,American,,
Mick Milligan,Male,,,
Richard Evans,Male,British,1945,
Michael Hodgson,Male,British,,
Jeff Ayeroff,Male,,,
Adelle Lutz,Female,American,1948,
E. Earl Curtis,Male,American,,
Dentaku Ltd.,,,,
Mark McKeague,Male,Irish,1989,
Naomi Elliott,Female,British,1987,
Joseph Pleass,Male,British,1990,
Martyn Atkins,Male,British,1959,
Bernard Pierre Wolff,Male,American,1930,1985
Mediated Matter Group,,,2010,
MIT Materials Science and Engineering,,,1974,
The Mathworks,,,1984,
Turlif Vilbrandt,Male,American,1968,
Ulrike Müller,Female,Austrian,1971,
Brigitte Hellgoth,Female,German,1932,
Plastic Ono Band,,,,
Arduino SA,,,,
SmartProjects,,,,
Kevin Beasley,Male,American,1985,
Julia Murdoch,Female,British,,
Leo Fender,Male,American,1909,1991
George Fullerton,Male,American,1923,2009
Freddie Tavares,Male,American,1913,1990
Mary Ellen Bute,Female,American,1906,1983
Massimo Banzi,Male,Italian,1968,
David Cuartielles,Male,Spanish,1974,
Tom Igoe,Male,American,1967,
Gianluca Martino,Male,Italian,1973,
David Mellis,Male,American,1980,
Giorgio Olivero,Male,Italian,1975,
Sam Lewitt,Male,American,1981,
Ryan Oakes,Male,American,1982,
Trevor Oakes,Male,American,1982,
Jennie C. Jones,Female,American,1968,
Julia Rommel,Female,American,1980,
Aloisio Magalhães,Male,Brazilian,1927,1982
Blue Note Records,,,1939,
Prestige Records,,,1949,
Sire Records,,,1966,
Amazing Musical Instrument Company,,Canadian,1987,
Ove N. Arup Consulting Engineers London,,,1946,
Grupo Sordo Madaleno,,,,
Command Records,,,1959,
Stiff Records London,,,1976,
F-Beat Records,,,1979,
Factory Records Manchester,,,1978,
Folkways Records New York,,,1948,
Carlos Zilio,Male,Brazilian,1944,
Jessica Rosenkrantz,Female,American,1983,
Jesse Louis-Rosenberg,Male,American,1986,
Inaki Bonillas,Male,Mexican,1981,
Fred Stein,Male,American,1909,1967
Conte Candoli,Male,American,1927,2001
Reaction Records,,,1966,
Gavin Cochrane,Male,British,,
Brian Aris,Male,British,1946,
Charisma Records,,British,1969,
Pictorial Productions,,,,
Tony Meeviwiffen,Male,,,
Parlophone Records,,,1896,
Harvest Records,,,1969,
Atlantic Records,,,1947,
Tina Weymouth,Female,American,1950,
Chris Frantz,Male,American,1951,
ATCO Records,,,1955,
Rolling Stones Records,,,1970,
Billy Name,Male,American,1940,
Craig Braun,Male,American,1939,
Ernie Cefalu,Male,American,1945,
John Pasche,Male,American,1945,
Richard Polak,Male,,,
Steve McGarry,,British,1953,
D.B. Glen,,,,
Richard Mulligan,Male,American,1925,2008
Eric Hurtado,Male,French,1959,
Marc Hurtado,Male,French,1962,
MSGSS (Manteola Sanchez Gomez Santos Solsona) Buenos Aires,,Argentine,,
MSGSSSV (Manteola Sanchez Gomez Santos Solsona Sallaberry Vinson) Buenos Aires,,,,
Andrew Repasky McElhinney,Male,American,1978,
The Command All-Stars,,,,
Cook Laboratories Records,,,1952,
Julián Hernández,Male,Mexican,1972,
Rachel Reichman,Female,American,1958,
Bob Byington,Male,American,1975,
Scott Cooper,Male,American,1970,
Ben Affleck,Male,American,1972,
Todd Phillips,Male,American,1970,
Paul McMahon,Male,,,
Nancy Radloff,,,,
Wharton Tiers,,,,
Joseph Gone,,,,
David McMahon,,,,
Art Critics Orchestra,,,,
Byrd Hoffman School of Byrds,,,,
Carl Byron,,,,
Carole Caroompas,Female,,1946,
Billy Childish,Male,,1959,
Arrigo Lora Totino,Male,Italian,1928,
Joe Colley,Male,American,1972,
Augusto Concato,Male,Italian,,
Cranfield and Slade,,,,
Brady Cranfield,,,,
Kathy Slade,,,,
The Dogz,,,,
Lee Ranaldo,Male,,1956,
Dave Dyment,,,,
Bruce Fier,,,,
Forcefield,,,,
Bob George,,,,
Gobbler,,,,
Art Byington,,,,
Henrik Håkansson,,,1968,
The Haters,,,,
Fat Les,,,,
Keith Allen,,,,
Alex James,,,,
George Herms,Male,American,1935,
Alex Israel,Male,American,1982,
Christian Vetter,Male,Swiss,1970,
Lynette Yiadom-Boakye,Female,British,1977,
Smiljan Radić,Male,Chilean,1965,
Vit Mach,,Czech,1945,
Jan Mach,,Czech,1943,
Jan Trtílek,Male,Czech,1938,
Achim Duchow,Male,German,1948,1993
Jochen Krüger,,,,
Natalie Czech,Female,German,1976,
Formafantasma,,,2009,
Andrea Trimarchi,Female,Italian,1980,
Simone Farresin,Female,Italian,1983,
LaToya Ruby Frazier,Female,American,1982,
Guillermo Zamora,Male,Mexican,1915,2002
Trevor Key,Male,British,1947,1995
Joy Division,,British,1976,1980
Hélène Binet,Female,Swiss,1959,
Reese Williams,,,,
Aktuální umĕni,,,1964,
Felix Partz,,,,
Jorge Zontal,,,,
Orlando Garcia,Male,Colombian,1975,
G Ateliers Architecture,,,2006,
John Houck,Male,American,1977,
Wyss Institute for Biologically Inspired Engineering at Harvard University,,,,
Annett Zinsmeister,Female,German,1967,
Reginald Orton,Male,New Zealander,1981,
Philip Walton,Male,American,1974,
Yuki Kimura,Female,Japanese,1971,
Ryan Junell,Male,American,1973,
Creative Commons,,,,
Benjamin Bauer,Male,American,1913,1979
Shure Incorporated,,,1925,
Lucas Blalock,Male,American,1978,
Steffani Jemison,Female,American,1981,
Alma Woodsey Thomas,Female,,1891,1978
Bouchra Khalili,Female,Moroccan,1975,
The Propeller Group,,American,2006,
Wu Tsang,Female,American,1982,
Donald Elliot Ingber,Male,American,1956,
Dan Dongeun Huh,Male,American,1975,
Boston Children's Hospital,,,,
Christian Richters,Male,German,1958,
Igildo Biesele,Male,Swiss,1930,
David Bradshaw,Male,American,1944,
Abdul Mati Klarwein,Male,German,1932,2002
John Berg,Male,American,1932,
Nagy Shaker,Male,Egyptian,1930,
Paolo Isaja,Male,Italian,1930,
Krzysztof Zanussi,Male,Polish,1939,
Ruth Krauss,,,,
Adriana Salazar,Female,Colombian,1983,
Manuel González Rul,Male,Mexican,1923,1985
Patrick Nagel,Male,American,1945,1984
Annie Leibovitz,Female,American,1949,
Peter Corriston,Male,,,
Christian Piper,Male,German,1941,
Hubert Kretzschmar,Male,,,
Eloise Vega Smith,Female,,,
Nick Fasciano,Male,American,1940,
Robert Fisher,Male,American,,
Michael Lavine,Male,,,
Don Hunstein,Male,American,1928,
Mike Doud,Male,,,
DIS,,American,2010,
Katharina Gaenssler,Female,German,1974,
David Hartt,Male,Canadian,1967,
MSGS (Manteola Sanchez Gomez Solsona) Buenos Aires,,Argentine,,
Ilit Azoulay,Female,Israeli,1972,
Lele Saveri,Male,Italian,1980,
Lieko Shiga,Female,Japanese,1980,
Brian Duffy,Male,British,1933,2010
Zacron (Richard Drew),Male,British,1943,2012
Grey Organisation,,British,1983,1991
Rick Griffin,Male,American,1944,1991
Rocco Redondo,Male,Spanish,1950,
Peter Zumthor,Male,Swiss,1943,
Ecovative,,,,
Michael Ross,Male,,,
Brian Griffin,Male,British,1948,
Keith Morris,Male,,,
Static Kling,,,,
J. Edith Wise,Female,American,,
Alex Roberts,Male,British,1983,
Walter Jule,Male,Canadian,1940,
Gerald Holtom,Male,British,1914,1985
Charles Baldwin,Male,American,,
Gary Anderson,Male,American,1947,
Lawrence Berkeley National Laboratory University of California,,,,
"John ""Teflon"" Sims",Male,British,1950,
Alicja Szubert-Olszewska,Female,Polish,,
W. Pawelec,Male,Polish,,
Andrzej Karpiński,Male,Polish,1963,
Piotr Tofil,Male,Polish,,
Mirosław Ryszard Ryszard,Male,Polish,1952,
Alek Januszewski,Male,Polish,,
Lisze Bechtold,Female,American,,
Lesley Keene,Female,,,
Janet Perr,Female,,,
Arnold Rosenberg,Male,American,1931,
Philip Hays,Male,American,1930,
Ben Drury,Male,British,1972,
András Wahorn,Male,Hungarian,1953,
Free Art and Technology Lab,,,2007,
Shawn Sims,Male,American,1986,
Sy-Lab,,,2007,
Dörte Helm,Female,German,1898,1941
Paul Häberer,Male,German,1902,1978
Tom Hingston,Male,British,,
Chris D.,Male,,,
Péter Nagy,Male,Hungarian,,
Tomasz Lipiński,Male,Polish,1955,
Stephen Kroninger,Male,American,1957,
Chris Mathan,Male,,,
Simon Posthuma,Male,Dutch,,
Marijke Koger-Dunham,Female,Dutch,,
Kain May,,Polish,,
Nelson Pereira dos Santos,Male,Brazilian,1928,
Annette Peacock,Female,American,1941,
Sam Suliman,Male,,,
Andrea Klein,Female,,,
Dezerter,,Polish,1981,
Kirk Weddle,Male,American,,
Sonja Hennersdorf,Female,German,,
Jochen Wermann,Male,,,
Artrouble,,American,1978,
Will Bankhead,Male,British,,
Andrzej Zborski,Male,Polish,1929,
Dean Chalkley,Male,British,,
Jim Houghton,Male,,,
Gerard Huerta,Male,American,,
Alex Schweder,Male,American,1970,
Rick Mann,Male,British,1954,
Francisco Matto,Male,Uruguayan,1911,1995
Sandra Cinto,Female,Brazilian,1968,
Sarah Grilo,Female,Argentine,1919,2007
Etel Adnan,Female,American,1925,
Takashi Kono,Male,Japanese,1906,1999
Mizu,,Japanese,,
Toshihiro Katayama,Male,Japanese,1928,
Setsuko Asakura,Male,Japanese,,
Ishoka,,Japanese,,
Kenichi Kobori,Male,Japanese,,
Shunichi Nakashima,Male,Japanese,,
Tony Lewis,Male,American,1986,
Eddie Ruscha,,,,
Richie Lee,,,,
Cindy Bernard,Female,American,1959,
Laura Graham,,,,
Maija Beeton,,,,
Martine Tomczyk,,,,
Juan Batlle Planas,Male,Argentine,1911,1966
DJ Sid,,,,
Bill Fontana,,,,
John Paul Endress,Male,American,,
Art Kane,Male,American,1925,1995
José Álvarez Calderón,Male,Peruvian,1894,1980
Rosemberg Sandoval,Male,Colombian,1959,
Duncan Campbell,Male,British,1972,
Noah Baumbach,Male,American,1969,
Marc Singer,Male,American,1970,
Oren Moverman,Male,American,1966,
Patterson Beckwith,Male,American,1972,
Alex Bag,Female,American,1969,
John Gerrard,Male,Irish,1974,
Gerald Jupitter-Larsen,,,1959,
Minutemen,,,,
Saccharine Trust,,,,
Kindled Imagination,,,,
Artless Entanglements,,,,
Sharp Corners,,,,
The Nig-Heist,,,,
Redd Kross,,,,
Gregg Wager,,American,1958,
Crimony,,,,
Anarchy 6,,,,
Pay The Man,,,,
Super Session,,,,
Dim Stars,,,,
DOS,,,,
Lucky Sperms,,,,
Just Say No,,,,
Mike Watt,,,,
Sür Drone,,,,
Annihilation Time,,,,
Foo Fighters,,,,
Breakfast,,,,
Charles Wilp,,,,
Fabrizio Plessi,,,,
Katalin Ladik,Female,Hungarian,1942,
"Richard ""Dickie"" Landry",,,,
Languis,,,,
Alejandro Cohen,,,,
Marcos Chloca,,,,
Lunk,,,,
Ingram Marshall,,,,
Nelson Tarpenny,,,,
Pauline Oliveros,Female,,,
Manuel Rocha,,,,
Owada,,,,
Keiko Owada,,,,
Adam McEwen,Male,British,1965,
Abby Normal,,,,
Dave Markey,,,,
Bidner / Martinek,,,,
The Poetics,,,,
Bill Wintersole,,,,
Zoe Pettijohn,,,,
Linda Post,,,,
Cathy,,,,
Princess,,,,
Bad News,,,,
Cheifs,,,,
Descendents,,,,
China White,,,,
Throbbing Gristle,,,,
The Stains,,,,
Vox Pop,,,,
Overkill,,,,
Circle One,,,,
Meat Puppets,,,,
Hüsker Dü,,,,
Toshio Sasaki,,,,
The Sets,,,,
Jake Tilson,Male,,1958,
Nikolaus Urban,,,,
Lejaren Hiller,,,,
Ben Johnston,,,,
Henri Pousseur,,,,
Bags,,,,
Anti,,,,
Shattered Faith,,,,
M.I.A.,,,,
Ill Will,,,,
Germs,,,,
BPeople,,,,
Mood of Defiance,,,,
Invisible Chains,,,,
Zurich 1916,,,,
Powertrip,,,,
Peer Group,,,,
Ken Starkey,,,,
Slivers,,,,
Würm,,,,
Modern Warfare,,,,
Hari Kari,,,,
Sin 34,,,,
Artistic Decline,,,,
Modern Torture,,,,
Marshall Mellow,,,,
Carl Stone,,,,
Doo-Dooettes,,,,
Tone Deaf,,,,
Debt Of Nature,,,,
David Peel & The Lower East Side,,,,
Motorpsycho,,,,
Meathead,,,,
Jesus Fuck & Da Murderers,,,,
Starfuckers,,,,
Eugene Chadbourne,,,,
Controlled Bleeding,,,,
Skullflower,,,,
Kicking Giant,,,,
Faust,,,,
Pavement,,,,
Sun City Girls,,,,
Television Personalities,,,,
Basim Magdy,Male,Egyptian,1977,
Naoya Hatakeyama,Male,Japanese,1958,
Blank,,,,
Selten Gehörte Musik,,,,
Tennessee Williams,Male,,1911,1983
John Wallowitch,Male,,1926,2007
Paul Anka,,,1941,
Billy Squier,,,1950,
Diana Ross,Female,,,
Aretha Franklin,Female,,1942,
Love of Life Orchestra,,,,
Peter Gordon,Male,,,
Ned Sublette,Male,,1951,
The Persuasions,,,,
Thomas Zipp,,,,
Ha Chonghyun,Male,Korean,1935,
Chen Zhen,Male,Chinese,1955,2000
Josh Kline,Male,American,1979,
Thea Djordjadze,Female,Georgian,1971,
Achilles Lemot,Male,French,1846,1909
Bob,,,,
G. Darré,,,,
Durvis,,,,
John Kosh,Male,British,,
Zvonimir Golob,Male,Croatian,1927,1997
Iain Macmillan,Male,British,1938,2006
Philipp Schaerer,Male,Swiss,1972,
Electroninks,,,,
Clifton Roozeboom,Male,,,
PocketLab,,,,
Helen Balfour Morrison,Female,American,1901,1984
Claude Parent,Male,French,1923,
Terrol Dew Johnson,Male,American,1973,
György Soós,Male,Hungarian,,
György Bp. Szabó,Male,Hungarian,,
Tamás Soós,Male,Hungarian,,
György Szász,Male,Hungarian,,
László= Lugo,Male,Hungarian,,
Margaret Watkins,Female,Canadian,1884,1969
Henri Fille,,,,
Heidbrinck,,,,
Mass Studies Seoul Korea,,Korean,2003,
Uche Okeke,Male,Nigerian,1933,2016
Kees Wagenaars,male,Dutch,1961,
Manu Prakash,Male,American,,
Jie Qi,Female,American,1987,
"Andrew ""Bunnie"" Huang",Male,American,1975,
Gilbert Baker,Male,American,1951,
Autodesk Inc.,,,1982,
V. Ber,,,,
Mirko Ilić,Male,American,1956,
Eleanor Kluck,Female,American,1919,
Henry Kluck,Male,American,1922,2007
Francisco Blanco,Male,Cuban,,
Mario Gallardo,Male,Cuban,,
Rene De La Nuez,Male,Cuban,,
Carmelo González,Male,Cuban,,
Eduardo Munoz Bachs,Male,Cuban,1937,2001
Titus Kaphar,Male,,1976,
Alberto Carol,Male,Cuban,,
Rene Azcuy Cardenas,Male,Cuban,1939,
Dimas,,Cuban,,
Antonio Fernandez Reboiro,Male,Cuban,1935,
Frederik Ljungström,Male,Swedish,1875,1964
Andrew John Hessel,Male,Canadian,1963,
Jacqueline Yuan Quinn,Female,American,1990,
Paul Richard Ayre Jaschke,Male,Canadian,1979,
Unknown Designer,,Cuban,,
Joseph Schwartz,Male,American,1913,2015
Anna Boghiguian,Female,Egyptian,1946,
James Cruze,Male,American,1884,1942
Michael Oblowitz,Male,South African,1943,
Martine Bedin,Female,French,1957,
Memphis Milan,,,1981,1985
Bruce La Bruce,Male,Canadian,1964,
Sally Potter,Female,British,1949,
James Ponsoldt,Male,American,1978,
Dayanita Singh,Female,Indian,1961,
Michele De Lucchi,Male,Italian,1951,
Daniele Scandola,Male,Italian,,
Gloria della Vittoria,Female,Italian,,
Nathalie du Pasquier,Female,French,1957,
Massimo Giacon,Male,Italian,1961,
Roland Shakespear,Male,Argentine,,
Guillermo González Ruiz,Male,Argentine,1937,
Castell,,,,
John Straiton,Male,Canadian,1922,
Unknown Designer,,Chilean,,
Unknown Designer,,Puerto Rican,,
J. Rosado Velez,Male,Puerto Rican,,
David Goitia,Male,Puerto Rican,,2004
Velazquez Ribero,,Puerto Rican,,
F. Palacios,,Puerto Rican,,
Euzhan Palcy,Female,French,1958,
Boris Frumin,Male,Russian,1946,
Sou Fujimoto Architects,,,,
